發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月23日 23時41分00秒,臺中市大雅區橫山里東大路二段1100巷78號前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,120.614308,24.236001
111年01月24日 09時15分29秒,臺南市下營區省道臺19甲線口 / 臺南市下營區區道南58線,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.270440,23.216870
111年01月24日 15時04分00秒,臺南市白河區縣172線 36公里300.0公尺處附近,死亡1;受傷0,電動自行車-慢車,120.456261,23.350983
111年01月25日 06時12分00秒,彰化縣鹿港鎮東崎里東崎二巷 / 彰化縣鹿港鎮東崎里彰鹿路5段,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.479561,24.049019
111年01月25日 10時28分00秒,臺東縣臺東市吉林路181巷32號前0.0公尺,死亡1;受傷0,行人-人;自用大客車-大客車;自用-小客車,121.160168,22.784270
111年01月25日 11時53分00秒,高雄市橋頭區仕豐路266號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.303800,22.746990
111年01月25日 12時12分00秒,彰化縣員林市三條里條和街58號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;其他人-人,120.585877,23.957329
111年01月25日 13時16分00秒,新北市石碇區新北市石碇區106乙線道路與無名路(國五交流道南下出口處),死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車,121.772246,25.041118
111年01月25日 19時16分00秒,臺中市大里區夏田里環河路一段 / 臺中市大里區夏田里中投東路三段,死亡1;受傷1,普通重型-機車;自用-小客車,120.664381,24.083087
111年01月25日 22時52分00秒,臺北市內湖區環東大道前0.0公尺,死亡1;受傷0,自用-小客車;大型重型2(250-550C.C.)-機車;自用-小客車,121.591038,25.061144
111年01月26日 00時06分00秒,臺中市后里區國道1號 163公里200.0公尺處南側向內側路肩,死亡2;受傷1,自用-小客車;自用-小客車;營業用-半聯結車;乘客-人,120.708746,24.323032
111年01月26日 07時48分27秒,臺東縣太麻里鄉台9線 394公里800.0公尺處東側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.975083,22.554858
111年01月26日 08時52分00秒,臺中市烏日區九德里中山路一段164號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.643520,24.109555
111年01月26日 09時22分13秒,苗栗縣苑裡鎮福田里5鄰52之7號往南100公尺,死亡1;受傷0,普通重型-機車,120.672041,24.421609
111年01月26日 09時50分00秒,桃園市蘆竹區南崁路二段口 / 桃園市蘆竹區南工路口,死亡1;受傷0,腳踏自行車-慢車;營業用-半聯結車,121.277736,25.057675
111年01月26日 12時43分13秒,宜蘭縣冬山鄉冬山路1段236號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.805681,24.621142
111年01月26日 15時11分00秒,彰化縣大城鄉菜寮村東平路前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.321878,23.869639
111年01月26日 15時59分14秒,南投縣南投市民族路160號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.690050,23.909788
111年01月26日 18時18分00秒,屏東縣屏東市自由路口 / 屏東縣屏東市仁愛路,死亡1;受傷0,自用-小客車;行人-人,120.495803,22.680539
111年01月27日 07時33分00秒,新竹市北區中清路1段262-3號,死亡1;受傷0,普通重型-機車,120.931480,24.834975
111年01月27日 07時51分13秒,苗栗縣造橋鄉龍昇村台1線105公里處附近,死亡1;受傷1,自用-曳引車;自用-小客車;乘客-人,120.839325,24.643703
111年01月27日 08時09分00秒,臺中市烏日區溪壩里溪南路一段156號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.644078,24.085316
111年01月28日 15時20分00秒,臺北市文山區興隆路4段 / 臺北市文山區興隆路4段,死亡1;受傷0,民營公車-大客車;乘客-人;普通重型-機車;自用-小客車,121.561955,24.983636
111年01月28日 16時07分19秒,新竹縣竹北市堤頂街上分6支7電桿(系統無此路段),死亡1;受傷1,普通重型-機車;普通重型-機車,121.054068,24.792737
111年01月28日 18時04分11秒,嘉義縣布袋鎮龍江里台61線270公里200公尺處南下側車道,死亡1;受傷0,普通重型-機車,120.165770,23.389863
111年01月28日 20時02分00秒,臺東縣關山鎮崁頂121號前,死亡1;受傷1,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.158394,23.032969
111年01月28日 21時44分00秒,苗栗縣苗栗市建功里中山路187號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.823365,24.565412
111年01月29日 01時48分41秒,新竹市香山區西濱快速道路與高濱路口,死亡1;受傷0,普通重型-機車;營業用-半聯結車,120.898396,24.744388
